round,action_index,region,old_color,new_color,center_dist,step_delta_center_dist,solved,final_conflicts
16,0,25,3,2,4.9908078770181215,,True,0
16,1,5,1,2,1.3437096247164246,-3.6470982523016966,True,0
16,2,40,3,0,2.1730674684008826,0.829357843684458,True,0
16,3,33,1,3,3.5355339059327378,1.3624664375318551,True,0
16,4,8,3,1,9.300537618869138,5.7650037129364,True,0
16,5,28,0,1,4.338955013853554,-4.961582605015583,True,0
16,6,1,2,1,1.4212670403551897,-2.9176879734983645,True,0
16,7,0,3,1,6.88839603971781,5.46712899936262,True,0
17,0,30,0,3,4.709564735726647,,True,0
17,1,36,3,1,6.789698078707183,2.0801333429805355,True,0
17,2,37,2,3,9.235799911215054,2.446101832507871,True,0
17,3,19,3,1,1.4142135623730951,-7.821586348841959,True,0
17,4,18,3,0,5.676462121975466,4.262248559602371,True,0
17,5,31,0,1,2.9154759474226504,-2.7609861745528157,True,0
17,6,30,3,0,4.709564735726647,1.7940887883039969,True,0
17,7,26,1,2,4.031128874149275,-0.6784358615773725,True,0
18,0,26,3,2,2.302172886644267,,True,0
18,1,31,1,0,3.3015148038438356,0.999341917199568,True,0
18,2,29,1,2,9.17877987534291,5.877265071499075,True,0
18,3,23,0,1,6.335525936249405,-2.843253939093505,True,0
18,4,28,0,1,5.375872022286244,-0.9596539139631606,True,0
18,5,0,1,3,6.103277807866851,0.7274057855806069,True,0
18,6,26,2,3,2.302172886644267,-3.801104921222584,True,0
19,0,21,1,0,7.743990428396851,,True,0
19,1,32,2,0,6.726812023536855,-1.0171784048599957,True,0
19,2,18,0,1,9.193238004098449,2.466425980561592,True,0
19,3,1,0,1,8.72774136806053,-0.4654966360379173,True,0
20,0,39,3,0,8.905054744357274,,True,0
20,1,26,2,0,2.910708199428831,-5.994346544928444,True,0
20,2,1,1,3,9.6880351305803,6.777326931151469,True,0
20,3,37,0,1,7.433034373659253,-2.255000756921046,True,0
20,4,5,2,0,6.168918507773916,-1.264115865885337,True,0
21,0,25,3,1,8.253787009609589,,True,0
21,1,18,1,0,4.833333333333334,-3.4204536762762547,True,0
21,2,31,1,3,6.041522986797286,1.2081896534639522,True,0
21,3,5,2,3,8.57554662980734,2.5340236430100536,True,0
22,0,41,2,0,8.5,,True,0
22,1,22,3,0,5.015282766154845,-3.484717233845154,True,0
22,2,36,0,2,8.53623728224418,3.5209545160893345,True,0
22,3,42,0,3,5.5901699437494745,-2.946067338494706,True,0
22,4,35,0,2,5.169354139756941,-0.4208158039925331,True,0
22,5,3,0,1,9.86154146165801,4.692187321901069,True,0
23,0,23,0,2,4.986717050202017,,True,0
23,1,13,2,0,3.140063693621516,-1.8466533565805017,True,0
23,2,30,2,3,6.373774391990981,3.2337106983694652,True,0
23,3,39,2,3,10.179636535751166,3.8058621437601854,True,0
23,4,6,2,0,9.433981132056603,-0.7456554036945633,True,0
24,0,17,3,1,7.566372975210778,,True,0
24,1,24,2,1,7.652613932506983,0.086240957296205,True,0
24,2,1,1,3,3.972562145517676,-3.6800517869893072,True,0
24,3,16,0,1,4.32691832858239,0.3543561830647137,True,0
25,0,35,0,3,3.8025233297731904,,True,0
