SessionID,Experiment,Round,Step,Action,ConflictRegions,TimeTaken(s),action_type,region_ui,color_ui,region_zero_based,color_zero_based,started_regions,started_conflicts,attempt_id,attempt_total_step,attempt_recolor_step,conflict_region_count,max_attempt_id,is_final_attempt,participant,round_int,region_zero_based_int,center_dist_norm,prev_center_dist_norm,center_dist_delta_from_prev,moved_outward_from_prev
Rex,experiment2,4,43,Recolored Region 29 to Color 3,8 9 10 18 23 29 31 43,1.7,recolor,29.0,3.0,28.0,2.0,,,1,6,5,8,1,True,Rex,4,28,0.5193356752317952,0.36722577766849696,0.1521098975632983,1
Rex,experiment2,4,44,Recolored Region 18 to Color 3,9 10 13 18 23 29 31 40 43,0.7,recolor,18.0,3.0,17.0,2.0,,,1,7,6,9,1,True,Rex,4,17,0.3952097783652714,0.5193356752317952,-0.12412589686652387,0
Rex,experiment2,4,45,Recolored Region 18 to Color 2,8 9 10 18 23 29 31 43,5.4,recolor,18.0,2.0,17.0,1.0,,,1,8,7,8,1,True,Rex,4,17,0.3952097783652714,0.3952097783652714,0.0,0
Rex,experiment2,4,46,Recolored Region 8 to Color 1,8 9 10 23 29 31 43,4.7,recolor,8.0,1.0,7.0,0.0,,,1,9,8,7,1,True,Rex,4,7,0.36722577766849696,0.3952097783652714,-0.027984000696774425,0
Rex,experiment2,4,47,Recolored Region 9 to Color 2,9 29 31 35,4.9,recolor,9.0,2.0,8.0,1.0,,,1,10,9,4,1,True,Rex,4,8,0.6952715222318228,0.36722577766849696,0.3280457445633258,1
Rex,experiment2,4,48,Recolored Region 31 to Color 2,9 35,5.2,recolor,31.0,2.0,30.0,1.0,,,1,11,10,2,1,True,Rex,4,30,0.5860684741046278,0.6952715222318228,-0.10920304812719495,0
Rex,experiment2,4,49,Recolored Region 35 to Color 4,,3.4,recolor,35.0,4.0,34.0,3.0,,,1,12,11,0,1,True,Rex,4,34,0.8071259394652586,0.5860684741046278,0.22105746536063076,1
Rex,experiment2,5,51,Recolored Region 17 to Color 4,14 16 17 22 29 37,2.5,recolor,17.0,4.0,16.0,3.0,,,1,2,1,6,1,True,Rex,5,16,0.7895176577716747,,,
Rex,experiment2,5,52,Recolored Region 17 to Color 3,14 22 29 37,2.5,recolor,17.0,3.0,16.0,2.0,,,1,3,2,4,1,True,Rex,5,16,0.7895176577716747,0.7895176577716747,0.0,0
Rex,experiment2,5,53,Recolored Region 29 to Color 4,14 37,4.1,recolor,29.0,4.0,28.0,3.0,,,1,4,3,2,1,True,Rex,5,28,0.4074004218633553,0.7895176577716747,-0.3821172359083194,0
Rex,experiment2,5,54,Recolored Region 14 to Color 4,1 14,8.6,recolor,14.0,4.0,13.0,3.0,,,1,5,4,2,1,True,Rex,5,13,0.7767067644093278,0.4074004218633553,0.36930634254597255,1
Rex,experiment2,5,55,Recolored Region 1 to Color 2,,3.3,recolor,1.0,2.0,0.0,1.0,,,1,6,5,0,1,True,Rex,5,0,0.7201890023945967,0.7767067644093278,-0.05651776201473113,0
Rex,experiment2,6,57,Recolored Region 27 to Color 4,6 20 30 32 34 36 37,2.9,recolor,27.0,4.0,26.0,3.0,,,1,2,1,7,1,True,Rex,6,26,0.5193356752317952,,,
Rex,experiment2,6,58,Recolored Region 6 to Color 3,2 6 32 34 36 41,3.1,recolor,6.0,3.0,5.0,2.0,,,1,3,2,6,1,True,Rex,6,5,0.312469830874991,0.5193356752317952,-0.20686584435680427,0
Rex,experiment2,6,59,Recolored Region 2 to Color 1,6 32 34 36 41,6.2,recolor,2.0,1.0,1.0,0.0,,,1,4,3,5,1,True,Rex,6,1,0.5984285175855729,0.312469830874991,0.28595868671058194,1
Rex,experiment2,6,60,Recolored Region 41 to Color 2,32 34 36 37 41,5.8,recolor,41.0,2.0,40.0,1.0,,,1,5,4,5,1,True,Rex,6,40,0.4371789254078128,0.5984285175855729,-0.16124959217776014,0
Rex,experiment2,6,61,Recolored Region 37 to Color 4,32 34 36,3.9,recolor,37.0,4.0,36.0,3.0,,,1,6,5,3,1,True,Rex,6,36,0.17289434608243873,0.4371789254078128,-0.2642845793253741,0
Rex,experiment2,6,62,Recolored Region 34 to Color 2,,4.1,recolor,34.0,2.0,33.0,1.0,,,1,7,6,0,1,True,Rex,6,33,0.6512818187635391,0.17289434608243873,0.4783874726811004,1
Rex,experiment2,7,64,Recolored Region 18 to Color 3,18 21 22 24 31 44,2.8,recolor,18.0,3.0,17.0,2.0,,,1,2,1,6,1,True,Rex,7,17,0.5394018509853976,,,
Rex,experiment2,7,65,Recolored Region 44 to Color 1,18 21 24 31,7.2,recolor,44.0,1.0,43.0,0.0,,,1,3,2,4,1,True,Rex,7,43,0.3891687065498411,0.5394018509853976,-0.15023314443555652,0
Rex,experiment2,7,66,Recolored Region 31 to Color 4,15 21 24 31,6.9,recolor,31.0,4.0,30.0,3.0,,,1,4,3,4,1,True,Rex,7,30,0.6298623676016792,0.3891687065498411,0.24069366105183815,1
Rex,experiment2,7,67,Recolored Region 15 to Color 3,21 24,1.3,recolor,15.0,3.0,14.0,2.0,,,1,5,4,2,1,True,Rex,7,14,0.8294376438161298,0.6298623676016792,0.1995752762144506,1
Rex,experiment2,7,68,Recolored Region 21 to Color 2,,4.7,recolor,21.0,2.0,20.0,1.0,,,1,6,5,0,1,True,Rex,7,20,0.15277515819875823,0.8294376438161298,-0.6766624856173716,0
Rex,experiment2,8,70,Recolored Region 33 to Color 3,10 12 18 19 32 33 34,2.2,recolor,33.0,3.0,32.0,2.0,,,1,2,1,7,1,True,Rex,8,32,0.3189713758148396,,,
Rex,experiment2,8,71,Recolored Region 18 to Color 3,10 12 19 33,7.0,recolor,18.0,3.0,17.0,2.0,,,1,3,2,4,1,True,Rex,8,17,0.4297060657060408,0.3189713758148396,0.11073468989120122,1
Rex,experiment2,8,72,Recolored Region 10 to Color 2,12 33,3.0,recolor,10.0,2.0,9.0,1.0,,,1,4,3,2,1,True,Rex,8,9,0.7414799600261169,0.4297060657060408,0.31177389432007613,1
Rex,experiment2,8,73,Recolored Region 12 to Color 1,8 12 21,4.9,recolor,12.0,1.0,11.0,0.0,,,1,5,4,3,1,True,Rex,8,11,0.13175599019329787,0.7414799600261169,-0.6097239698328191,0
Rex,experiment2,8,74,Recolored Region 12 to Color 2,12 16 36,3.2,recolor,12.0,2.0,11.0,1.0,,,1,6,5,3,1,True,Rex,8,11,0.13175599019329787,0.13175599019329787,0.0,0
Rex,experiment2,8,75,Recolored Region 12 to Color 3,12 33,10.3,recolor,12.0,3.0,11.0,2.0,,,1,7,6,2,1,True,Rex,8,11,0.13175599019329787,0.13175599019329787,0.0,0
