pruning_thresh,gamma,lapse_rate,region_preserve,color_preserve,ll,nll,n_actions,task_id
0.5,0.2,0.3,0.0,0.0,-54.59928369259885,54.59928369259885,61,1
0.5,0.1,0.3,0.0,0.0,-55.265422542719065,55.265422542719065,61,1
0.5,0.1,0.1,0.0,0.0,-58.8713227440826,58.8713227440826,61,1
0.5,0.2,0.1,0.0,0.0,-58.98778884895093,58.98778884895093,61,1
1.0,0.2,0.3,0.0,0.0,-87.09245477485061,87.09245477485061,61,1
1.0,0.05,0.3,0.0,0.0,-90.81823017280499,90.81823017280499,61,1
1.0,0.1,0.3,0.0,0.0,-90.97401535873426,90.97401535873426,61,1
1.0,0.05,0.1,0.0,0.0,-92.07393513814574,92.07393513814574,61,1
1.0,0.2,0.1,0.0,0.0,-92.0878984868185,92.0878984868185,61,1
1.0,0.1,0.1,0.0,0.0,-95.411066817833,95.411066817833,61,1
0.0,0.1,0.0,0.0,0.0,-102.31050968404809,102.31050968404809,61,1
0.5,0.05,0.0,0.0,0.0,-115.37103169970808,115.37103169970808,61,1
0.0,0.2,0.0,0.0,0.0,-160.56828418945918,160.56828418945918,61,1
0.5,0.1,0.0,0.0,0.0,-188.21172782538628,188.21172782538628,61,1
0.5,0.2,0.0,0.0,0.0,-204.2120404406882,204.2120404406882,61,1
1.0,0.05,0.0,0.0,0.0,-215.82356130720757,215.82356130720757,61,1
1.0,0.1,0.0,0.0,0.0,-266.1566122340089,266.1566122340089,61,1
1.0,0.2,0.0,0.0,0.0,-278.8273211208357,278.8273211208357,61,1
0.0,0.05,0.3,0.0,0.0,-59.84694568846291,59.84694568846291,70,2
0.0,0.05,0.1,0.0,0.0,-61.30039553407986,61.30039553407986,70,2
0.0,0.1,0.3,0.0,0.0,-71.47134479253637,71.47134479253637,70,2
0.0,0.2,0.3,0.0,0.0,-73.27501875437757,73.27501875437757,70,2
0.5,0.05,0.3,0.0,0.0,-82.39832274443258,82.39832274443258,70,2
0.0,0.1,0.1,0.0,0.0,-83.0615175677399,83.0615175677399,70,2
0.5,0.2,0.3,0.0,0.0,-83.46641639487419,83.46641639487419,70,2
0.5,0.1,0.3,0.0,0.0,-85.70344028180754,85.70344028180754,70,2
0.0,0.2,0.1,0.0,0.0,-87.00321697721374,87.00321697721374,70,2
0.5,0.05,0.1,0.0,0.0,-89.32320155629283,89.32320155629283,70,2
0.5,0.2,0.1,0.0,0.0,-96.29766850683811,96.29766850683811,70,2
0.5,0.1,0.1,0.0,0.0,-97.75700442897993,97.75700442897993,70,2
1.0,0.2,0.3,0.0,0.0,-119.92717118750292,119.92717118750292,70,2
1.0,0.1,0.3,0.0,0.0,-123.92327962849012,123.92327962849012,70,2
1.0,0.05,0.3,0.0,0.0,-124.02784578425262,124.02784578425262,70,2
1.0,0.2,0.1,0.0,0.0,-134.75195055145193,134.75195055145193,70,2
1.0,0.05,0.1,0.0,0.0,-135.12838245943365,135.12838245943365,70,2
1.0,0.1,0.1,0.0,0.0,-138.19412760657994,138.19412760657994,70,2
0.0,0.05,0.0,0.0,0.0,-140.35912919802357,140.35912919802357,70,2
0.5,0.05,0.0,0.0,0.0,-265.2011815937975,265.2011815937975,70,2
0.0,0.1,0.0,0.0,0.0,-309.03234242974617,309.03234242974617,70,2
0.0,0.2,0.0,0.0,0.0,-344.9982351802971,344.9982351802971,70,2
0.5,0.1,0.0,0.0,0.0,-353.7747109696435,353.7747109696435,70,2
0.5,0.2,0.0,0.0,0.0,-368.2064076670316,368.2064076670316,70,2
1.0,0.05,0.0,0.0,0.0,-400.72351592729126,400.72351592729126,70,2
1.0,0.1,0.0,0.0,0.0,-451.6443535189947,451.6443535189947,70,2
1.0,0.2,0.0,0.0,0.0,-464.3150624058215,464.3150624058215,70,2
0.0,0.1,0.0,0.0,0.0,-2258.055974288992,2258.055974288992,1042,3
0.0,0.1,0.1,0.0,0.0,-2266.541542419341,2266.541542419341,1042,3
0.0,0.2,0.1,0.0,0.0,-2271.5591020018633,2271.5591020018633,1042,3
0.5,0.1,0.1,0.0,0.0,-2278.442330526743,2278.442330526743,1042,3
0.5,0.2,0.1,0.0,0.0,-2281.198667265416,2281.198667265416,1042,3
0.0,0.1,0.3,0.0,0.0,-2284.254498566341,2284.254498566341,1042,3
0.0,0.2,0.3,0.0,0.0,-2286.062110452126,2286.062110452126,1042,3
0.5,0.1,0.3,0.0,0.0,-2296.0048520326277,2296.0048520326277,1042,3
0.5,0.2,0.3,0.0,0.0,-2296.73061605344,2296.73061605344,1042,3
0.5,0.1,0.0,0.0,0.0,-2302.1051956483284,2302.1051956483284,1042,3
1.0,0.1,0.1,0.0,0.0,-2312.4015859122537,2312.4015859122537,1042,3
0.0,0.2,0.0,0.0,0.0,-2313.828842144615,2313.828842144615,1042,3
1.0,0.2,0.1,0.0,0.0,-2315.721931010017,2315.721931010017,1042,3
1.0,0.1,0.3,0.0,0.0,-2327.491899572106,2327.491899572106,1042,3
1.0,0.2,0.3,0.0,0.0,-2327.7146250732226,2327.7146250732226,1042,3
0.5,0.2,0.0,0.0,0.0,-2336.7493325588975,2336.7493325588975,1042,3
1.0,0.1,0.0,0.0,0.0,-2396.6144628105403,2396.6144628105403,1042,3
1.0,0.2,0.0,0.0,0.0,-2447.95911464902,2447.95911464902,1042,3
0.0,0.05,0.3,0.0,0.0,-2596.1584571477406,2596.1584571477406,1042,3
0.5,0.05,0.3,0.0,0.0,-2601.7895916391617,2601.7895916391617,1042,3
1.0,0.05,0.3,0.0,0.0,-2632.8920539101446,2632.8920539101446,1042,3
0.0,0.05,0.1,0.0,0.0,-2852.4169374775533,2852.4169374775533,1042,3
0.5,0.05,0.1,0.0,0.0,-2855.505100996987,2855.505100996987,1042,3
1.0,0.05,0.1,0.0,0.0,-2887.7833820708415,2887.7833820708415,1042,3
0.0,0.05,0.0,0.0,0.0,-6929.9607623959355,6929.9607623959355,1042,3
0.5,0.05,0.0,0.0,0.0,-6931.946677879604,6931.946677879604,1042,3
1.0,0.05,0.0,0.0,0.0,-7010.423178681663,7010.423178681663,1042,3
0.0,0.1,0.1,0.0,0.0,-1408.9690241178919,1408.9690241178919,666,4
0.0,0.2,0.1,0.0,0.0,-1414.6688018104414,1414.6688018104414,666,4
0.0,0.1,0.3,0.0,0.0,-1416.4343836035716,1416.4343836035716,666,4
0.0,0.2,0.3,0.0,0.0,-1418.894868770778,1418.894868770778,666,4
0.5,0.1,0.1,0.0,0.0,-1420.869812225294,1420.869812225294,666,4
0.5,0.2,0.1,0.0,0.0,-1424.3083670739948,1424.3083670739948,666,4
0.5,0.1,0.3,0.0,0.0,-1428.1847370698579,1428.1847370698579,666,4
0.5,0.2,0.3,0.0,0.0,-1429.563374372092,1429.563374372092,666,4
1.0,0.1,0.1,0.0,0.0,-1457.61826001033,1457.61826001033,666,4
1.0,0.2,0.1,0.0,0.0,-1462.303041328148,1462.303041328148,666,4
1.0,0.1,0.3,0.0,0.0,-1462.6478080774284,1462.6478080774284,666,4
1.0,0.2,0.3,0.0,0.0,-1464.1762801413886,1464.1762801413886,666,4
0.0,0.1,0.0,0.0,0.0,-1468.4247823659746,1468.4247823659746,666,4
0.0,0.05,0.3,0.0,0.0,-1481.437178179399,1481.437178179399,666,4
0.5,0.05,0.3,0.0,0.0,-1487.0683126708207,1487.0683126708207,666,4
0.5,0.1,0.0,0.0,0.0,-1512.4740037253137,1512.4740037253137,666,4
1.0,0.05,0.3,0.0,0.0,-1521.1530036435101,1521.1530036435101,666,4
0.0,0.05,0.1,0.0,0.0,-1524.5412531134737,1524.5412531134737,666,4
0.0,0.2,0.0,0.0,0.0,-1524.8907974021597,1524.8907974021597,666,4
