task_id,random_seed,true_pruning_thresh,true_gamma,true_lapse_rate,hat_pruning_thresh,hat_gamma,hat_lapse_rate,ll,nll,n_actions,converged
49,2,0.5,0.2,0.1,0.0,0.2,0.1,-782.9569414237668,782.9569414237668,368,True
50,3,0.5,0.2,0.1,0.0,0.2,0.1,-151.49846205170115,151.49846205170115,107,True
51,1,0.5,0.2,0.3,0.0,0.2,0.3,-205.1097153382238,205.1097153382238,129,True
52,2,0.5,0.2,0.3,0.0,0.2,0.3,-212.92517492393344,212.92517492393344,135,True
53,3,0.5,0.2,0.3,0.0,0.2,0.3,-114.09220501847814,114.09220501847814,89,True
54,1,1.0,0.05,0.0,1.0,0.05,0.0,-55.64715057725341,55.64715057725341,64,True
55,2,1.0,0.05,0.0,1.0,0.05,0.0,-55.64715057725341,55.64715057725341,64,True
56,3,1.0,0.05,0.0,1.0,0.05,0.0,-55.64715057725341,55.64715057725341,64,True
57,1,1.0,0.05,0.1,1.0,0.05,0.1,-67.53500714481947,67.53500714481947,65,True
58,2,1.0,0.05,0.1,1.0,0.05,0.1,-68.66754538441563,68.66754538441563,65,True
59,3,1.0,0.05,0.1,1.0,0.05,0.1,-76.32330278305712,76.32330278305712,69,True
60,1,1.0,0.05,0.3,1.0,0.1,0.3,-106.83440346887099,106.83440346887099,74,True
61,2,1.0,0.05,0.3,1.0,0.05,0.1,-79.05093631611248,79.05093631611248,67,True
62,3,1.0,0.05,0.3,1.0,0.05,0.3,-1291.1103151624395,1291.1103151624395,557,True
63,1,1.0,0.1,0.0,1.0,0.1,0.0,-996.9057828524385,996.9057828524385,549,True
64,2,1.0,0.1,0.0,1.0,0.1,0.0,-996.9057828524385,996.9057828524385,549,True
65,3,1.0,0.1,0.0,1.0,0.1,0.0,-996.9057828524385,996.9057828524385,549,True
66,1,1.0,0.1,0.1,1.0,0.1,0.1,-144.16147749398104,144.16147749398104,107,True
67,2,1.0,0.1,0.1,1.0,0.2,0.1,-1317.2061508485558,1317.2061508485558,624,True
68,3,1.0,0.1,0.1,1.0,0.1,0.1,-645.8658267648332,645.8658267648332,326,True
69,1,1.0,0.1,0.3,1.0,0.2,0.3,-118.17620695716744,118.17620695716744,82,True
70,2,1.0,0.1,0.3,1.0,0.1,0.3,-1277.1233803310408,1277.1233803310408,616,True
71,3,1.0,0.1,0.3,1.0,0.1,0.3,-145.06998705317184,145.06998705317184,90,True
72,1,1.0,0.2,0.0,1.0,0.2,0.0,-1228.2057422931578,1228.2057422931578,547,True
73,2,1.0,0.2,0.0,1.0,0.2,0.0,-1228.2057422931578,1228.2057422931578,547,True
74,3,1.0,0.2,0.0,1.0,0.2,0.0,-1228.2057422931578,1228.2057422931578,547,True
75,1,1.0,0.2,0.1,1.0,0.2,0.1,-351.90366268101974,351.90366268101974,193,True
76,2,1.0,0.2,0.1,1.0,0.2,0.1,-1171.694086295965,1171.694086295965,556,True
77,3,1.0,0.2,0.1,1.0,0.2,0.1,-120.29074956475512,120.29074956475512,92,True
78,1,1.0,0.2,0.3,1.0,0.2,0.3,-292.76962936906455,292.76962936906455,158,True
79,2,1.0,0.2,0.3,1.0,0.2,0.3,-239.88803927039353,239.88803927039353,136,True
80,3,1.0,0.2,0.3,1.0,0.2,0.3,-1321.4002114310488,1321.4002114310488,584,True
