round,rep,step,region,center_dist
1,37,3,35,6.800735254367722
1,38,1,44,4.825971404805461
1,38,2,20,4.031128874149275
1,38,3,4,4.924428900898052
1,38,4,7,7.213269023126754
1,38,5,32,4.301162633521313
1,38,6,25,9.280355596635292
1,39,1,11,1.7716909687891076
1,39,2,26,2.213594362117865
1,40,1,11,1.7716909687891076
1,40,2,0,1.5811388300841898
1,40,3,32,4.301162633521313
1,40,4,39,4.716990566028302
1,40,5,4,4.924428900898052
1,40,6,5,6.4031242374328485
1,40,7,20,4.031128874149275
1,40,8,7,7.213269023126754
1,40,9,25,9.280355596635292
1,41,1,14,5.5901699437494745
1,41,2,20,4.031128874149275
1,41,3,4,4.924428900898052
1,41,4,7,7.213269023126754
1,41,5,32,4.301162633521313
1,41,6,42,9.60052081920559
1,42,1,11,1.7716909687891076
1,42,2,0,1.5811388300841898
1,42,3,32,4.301162633521313
1,42,4,39,4.716990566028302
1,42,5,4,4.924428900898052
1,42,6,5,6.4031242374328485
1,42,7,20,4.031128874149275
1,42,8,7,7.213269023126754
1,43,1,11,1.7716909687891076
1,43,2,26,2.213594362117865
1,43,3,44,4.825971404805461
1,44,1,44,4.825971404805461
1,44,2,20,4.031128874149275
1,44,3,4,4.924428900898052
1,44,4,7,7.213269023126754
1,44,5,32,4.301162633521313
1,44,6,25,9.280355596635292
1,45,1,10,3.0413812651491097
1,45,2,18,5.262551134615649
1,45,3,43,3.905124837953327
1,45,4,38,4.670385423067351
1,45,5,17,3.80058475033046
1,46,1,10,3.0413812651491097
1,46,2,18,5.262551134615649
1,46,3,43,3.905124837953327
1,46,4,38,4.670385423067351
1,46,5,17,3.80058475033046
1,47,1,11,1.7716909687891076
1,47,2,8,1.5365907428821477
1,47,3,0,1.5811388300841898
1,47,4,37,4.250816914952283
1,48,1,10,3.0413812651491097
1,48,2,18,5.262551134615649
1,48,3,43,3.905124837953327
1,48,4,38,4.670385423067351
1,48,5,17,3.80058475033046
1,48,6,37,4.250816914952283
1,49,1,11,1.7716909687891076
1,49,2,0,1.5811388300841898
1,49,3,32,4.301162633521313
1,49,4,39,4.716990566028302
1,49,5,8,1.5365907428821477
1,49,6,15,3.374742788552764
1,49,7,10,3.0413812651491097
1,49,8,11,1.7716909687891076
1,49,9,4,4.924428900898052
1,49,10,26,2.213594362117865
1,49,11,20,4.031128874149275
1,49,12,13,6.7364679172397155
1,50,1,15,3.374742788552764
1,50,2,20,4.031128874149275
1,50,3,32,4.301162633521313
1,50,4,14,5.5901699437494745
1,50,5,11,1.7716909687891076
1,50,6,8,1.5365907428821477
1,50,7,0,1.5811388300841898
1,50,8,37,4.250816914952283
1,51,1,44,4.825971404805461
1,51,2,20,4.031128874149275
1,51,3,13,6.7364679172397155
1,51,4,26,2.213594362117865
1,51,5,35,6.800735254367722
1,51,6,4,4.924428900898052
1,51,7,32,4.301162633521313
1,52,1,15,3.374742788552764
1,52,2,26,2.213594362117865
1,53,1,10,3.0413812651491097
1,53,2,9,4.374801582802229
1,53,3,39,4.716990566028302
1,53,4,5,6.4031242374328485
1,54,1,11,1.7716909687891076
1,54,2,0,1.5811388300841898
1,54,3,32,4.301162633521313
1,54,4,39,4.716990566028302
1,54,5,37,4.250816914952283
1,54,6,15,3.374742788552764
1,54,7,5,6.4031242374328485
1,54,8,26,2.213594362117865
1,54,9,44,4.825971404805461
1,55,1,11,1.7716909687891076
1,55,2,26,2.213594362117865
1,56,1,15,3.374742788552764
1,56,2,26,2.213594362117865
1,56,3,44,4.825971404805461
1,57,1,11,1.7716909687891076
1,57,2,0,1.5811388300841898
1,57,3,32,4.301162633521313
1,57,4,39,4.716990566028302
1,57,5,37,4.250816914952283
1,57,6,27,5.315072906367325
1,57,7,10,3.0413812651491097
1,57,8,23,6.946221994724902
1,57,9,8,1.5365907428821477
1,57,10,11,1.7716909687891076
1,57,11,10,3.0413812651491097
1,58,1,15,3.374742788552764
1,58,2,4,4.924428900898052
1,58,3,35,6.800735254367722
1,59,1,15,3.374742788552764
1,59,2,4,4.924428900898052
1,59,3,35,6.800735254367722
1,60,1,10,3.0413812651491097
1,60,2,9,4.374801582802229
1,60,3,39,4.716990566028302
1,60,4,5,6.4031242374328485
1,61,1,11,1.7716909687891076
1,61,2,8,1.5365907428821477
1,61,3,0,1.5811388300841898
1,61,4,37,4.250816914952283
1,62,1,11,1.7716909687891076
1,62,2,8,1.5365907428821477
1,62,3,0,1.5811388300841898
1,62,4,11,1.7716909687891076
1,62,5,26,2.213594362117865
1,62,6,20,4.031128874149275
1,63,1,15,3.374742788552764
1,63,2,20,4.031128874149275
1,63,3,32,4.301162633521313
1,63,4,13,6.7364679172397155
